ID;Sigla;Nome;Palavra-chave;Método;Complemento;Região do corpo;Incidência;Material
1801;RMARMI;Ressonância magnética, de artérias, membro Inferior;;Ressonância magnética;de artérias;membro Inferior;;
1802;RMARMMII;Ressonância magnética, de artérias, membros inferiores;;Ressonância magnética;de artérias;membros inferiores;;
1803;RMARMMSS;Ressonância magnética, de artérias, membros superiores;;Ressonância magnética;de artérias;membros superiores;;
1804;RMARMS;Ressonância magnética, de artérias, membro superior;;Ressonância magnética;de artérias;membro superior;;
1805;RMARPESC;Ressonância magnética, arterial, Pescoço (Carótida);;Ressonância magnética;arterial;pescoço (carótida);;
1806;RMARTCE;Ressonância magnética, arterial cerebral;;Ressonância magnética;;arterial cerebral;;
1807;RMARTDIN;Ressonância magnética, articular dinâmico;;Ressonância magnética;;articular dinâmico;;
1808;RMARTRO;Artrografia, por Ressonância Magnética;;Artrografia;por Ressonância magnética;;;
1809;RMATM;Ressonância magnética, bilateral, ATM;;Ressonância magnética;bilateral;ATM;;
1810;RMBACIA;Ressonância magnética, bacia;;Ressonância magnética;;bacia;;
1811;RMBASECR;Ressonância magnética, base de crânio;;Ressonância magnética;;base de crânio;;
1812;RMBRACO;Ressonância magnética, braço;;Ressonância magnética;;braço;;
1813;RMBRACOS;Ressonância magnética, braços;;Ressonância magnética;;braços;;
1816;RMCOLCER;Ressonância magnética, coluna cervical;;Ressonância magnética;;coluna cervical;;
1817;RMCOLLS;Ressonância magnética, coluna lombossacra;;Ressonância magnética;;coluna lombossacra;;
1818;RMCOLTOR;Ressonância magnética, coluna torácica;;Ressonância magnética;;coluna torácica;;
1819;RMCOLTOT;Ressonância magnética, coluna total;;Ressonância magnética;;coluna total;;
1820;RMCOPFIL;Cópia de filme, Ressonância magnética;Cópia de filme;;Ressonância magnética;;;
1821;RMCOR;Ressonância magnética, coração;;Ressonância magnética;;coração;;
1822;RMCOTOV;Ressonância magnética, cotovelo;;Ressonância magnética;;cotovelo;;
1823;RMCOTOVS;Ressonância magnética, cotovelos;;Ressonância magnética;;cotovelos;;
1824;RMCOXA;Ressonância magnética, coxa;;Ressonância magnética;;coxa;;
1825;RMCOXAS;Ressonância magnética, coxas (fêmures);;Ressonância magnética;;coxas (fêmures);;
1827;RMCRANIO;Ressonância magnética, crânio;;Ressonância magnética;;crânio;;
1828;RMCRASEL;Ressonância magnética, crânio e sela turca;;Ressonância magnética;;crânio e sela turca;;
1829;RMCRATCV;Ressonância magnética, crânio + transição crâniovertebral;;Ressonância magnética;;crânio + transição crâniovertebral;;
1830;RMFACE;Ressonância magnética, face;;Ressonância magnética;;face;;
1831;RMFARLAR;Ressonância magnética, faringe/laringe/traquéia;;Ressonância magnética;;faringe/laringe/traquéia;;
1832;RMFLULIQ;Ressonância magnética, fluxo liquórico;;Ressonância magnética;;fluxo liquórico;;
1833;RMJOELHO;Ressonância magnética, joelho;;Ressonância magnética;;joelho;;
1834;RMJOELHS;Ressonância magnética, joelhos;;Ressonância magnética;;joelhos;;
1835;RMMAMAS;Ressonância magnética, mamas;;Ressonância magnética;;mamas;;
1836;RMMAMASH;Ressonância magnética, mamas para homens;;Ressonância magnética;;mamas para homens;;
1837;RMMAO;Ressonância magnética, mão;;Ressonância magnética;;mão;;
1838;RMMAOS;Ressonância magnética, mãos;;Ressonância magnética;;mãos;;
1839;RMMASTOI;Ressonância magnética, mastóides;;Ressonância magnética;;mastóides;;
1840;RMOMBRO;Ressonância magnética, ombro;;Ressonância magnética;;ombro;;
1841;RMOMBROS;Ressonância magnética, ombros;;Ressonância magnética;;ombros;;
1842;RMORBITA;Ressonância magnética, órbita;;Ressonância magnética;;órbita;;
1843;RMPE;Ressonância magnética, pé;;Ressonância magnética;;pé;;
1844;RMPELVEF;Ressonância magnética, pelve feminina;;Ressonância magnética;;pelve feminina;;
1845;RMPELVEM;Ressonância magnética, pelve masculina;;Ressonância magnética;;pelve masculina;;
1846;RMPERNA;Ressonância magnética, perna;;Ressonância magnética;;perna;;
1847;RMPERNAS;Ressonância magnética, pernas;;Ressonância magnética;;pernas;;
1848;RMPES;Ressonância magnética, pés;;Ressonância magnética;;pés;;
1849;RMPESC;Ressonância magnética, pescoço/região cervical/glândulas;;Ressonância magnética;;pescoço/região cervical/glândulas;;
1850;RMPUNHO;Ressonância magnética, punho;;Ressonância magnética;;punho;;
1851;RMPUNHOS;Ressonância magnética, punhos;;Ressonância magnética;;punhos;;
1852;RMQUADRS;Ressonância magnética, quadris;;Ressonância magnética;;quadris;;
1853;RMRINS;Ressonância magnética, bilateral, rins;;Ressonância magnética;bilateral;rins;;
1854;RMSACRIL;Ressonância magnética, articulação sacroilíaca;;Ressonância magnética;;articulação sacroilíaca;;
1855;RMSACROC;Ressonância magnética, coluna sacrococcigea;;Ressonância magnética;;coluna sacrococcigea;;
1856;RMSELA;Ressonância magnética, sela/hipófise;;Ressonância magnética;;sela/hipófise;;
1857;RMTORAX;Ressonância magnética, tórax;;Ressonância magnética;;tórax;;
1858;RMTORNO;Ressonância magnética, tornozelo;;Ressonância magnética;;tornozelo;;
1859;RMTORNOS;Ressonância magnética, tornozelos;;Ressonância magnética;;tornozelos;;
1860;RMTVC;Ressonância magnética, crâniovertebral ou crâniocervical;;Ressonância magnética;;crâniovertebral ou crâniocervical;;
1865;RMVENCE;Ressonância magnética, venosa, cerebral;;Ressonância magnética;venosa;cerebral;;
1866;RMVEPESC;Ressonância magnética, venosa, pescoço;;Ressonância magnética;venosa;pescoço;;
1868;ROTAV;Pesquisa de Rotavírus e Adenovírus, fezes;Pesquisa de Rotavírus e Adenovírus;;;;;fezes
1869;RPCA;Proteína C Ativada, pesquisa de resistência, plasma;Proteína C Ativada;;pesquisa de resistência;;;plasma
1870;RPR;Treponema pallidum, Floculação por RPR, soro;Treponema pallidum;;Floculação por RPR;;;soro
1873;RTS;Retossigmoidoscopia;;Retossigmoidoscopia;;;;
1874;RUB;Rubéola, Anticorpos IgG e IgM, soro;Rubéola;;Anticorpos IgG e IgM;;;soro
1875;RUBIGG;Rubéola, Anticorpo IgG, soro;Rubéola;;Anticorpo IgG;;;soro
1876;RUBIGM;Rubéola, Anticorpo IgM, soro;Rubéola;;Anticorpo IgM;;;soro
1878;RXABDOM1;Raios X, abdomen simples;;Raios X;;abdomen simples;;
1879;RXABDOM2;Raios X, abdomen, AP-Lateral ou Localizada;;Raios X;;abdomen;AP-Lateral ou Localizada;
1880;RXABDOM3;Raios X, abdomen agudo, em pé + deitado + cúpulas;;Raios X;abdomen agudo;;em pé + deitado + cúpulas;
1882;RXACRCLA;Raios X, articulação acromio clavicular;;Raios X;;articulação acromio clavicular;;
1883;RXANTEB;Raios X, antebraço, Frente+Perfil;;Raios X;;antebraço;Frente+Perfil;
1884;RXANTEBS;Raios X, antebraços;;Raios X;;antebraços;;
1885;RXATM;Raios X, articulação temporomandibular bilateral;;Raios X;;articulação temporomandibular bilateral;;
1886;RXBACIA;Raios X, bacia;;Raios X;;bacia;;
1887;RXBRACO;Raios X, braço, F+P;;Raios X;;braço;F+P;
1888;RXBRACOS;Raios X, braços;;Raios X;;braços;;
1889;RXCAI;Raios X, condutos auditivos internos;;Raios X;;condutos auditivos internos;;
1890;RXCALCAN;Raios X, calcâneo;;Raios X;;calcâneo;;
1891;RXCALCAS;Raios X, calcâneos;;Raios X;;calcâneos;;
1892;RXCAVUM;Raios X, cavum, Lateral e/ou Hirtz;;Raios X;;cavum;Lateral e/ou Hirtz;
1894;RXCERVI3;Raios X, coluna cervical, Frente+Perfil;;Raios X;;coluna cervical;Frente+Perfil;
1895;RXCERVI5;Raios X, coluna cervical, F+P+Oblíquas;;Raios X;;coluna cervical;F+P+Oblíquas;
1896;RXCERVID;Raios X, coluna cervical, Funcional ou Dinâmica;;Raios X;;coluna cervical;Funcional ou Dinâmica;
1897;RXCISCOR;Uretrocistografia, com correntinha;;Uretrocistografia;com correntinha;;;
1898;RXCISTUM;Uretrocistografia, miccional;;Uretrocistografia;miccional;;;
1899;RXCISTUR;Urecistografia, retrógrada;;Urecistografia;retrógrada;;;
1900;RXCLAVIC;Raios X, clavícula;;Raios X;;clavícula;;
1901;RXCLAVIS;Raios X, clavículas;;Raios X;;clavículas;;
1903;RXCOLPOS;Colangiografia, pós-operatória;;Colangiografia;pós-operatória;;;
1907;RXCOPIAFILME;Cópia de filme, Raios X;Cópia de filme;;Raios X;;;
1910;RXCORPOE;Localização de corpo estranho, no globo ocular;;Localização de corpo estranho;no globo ocular;;;
1911;RXCOSTEL;Raios X, costelas por hemitorax, AP+Oblíquas;;Raios X;;costelas por hemitorax;AP+Oblíquas;
1912;RXCOSTES;Raios X, costelas dos 2 hemitorax, AP+Oblíqua;;Raios X;;costelas dos 2 hemitorax;AP+Oblíqua;
1913;RXCOTOVE;Raios X, cotovelo, F+P;;Raios X;;cotovelo;F+P;
1914;RXCOTOVS;Raios X, cotovelos, F+P;;Raios X;;cotovelos;F+P;
1915;RXCOXA;Raios X, coxa, F+P;;Raios X;;coxa;F+P;
1916;RXCOXAS;Raios X, coxas, F+P;;Raios X;;coxas;F+P;
1917;RXCOXOFE;Raios X, articulação coxofemural, F+Oblíquas;;Raios X;;articulação coxofemural;F+Oblíquas;
1918;RXCOXOFS;Raios X, articulações coxofemurais;;Raios X;;articulações coxofemurais;;
1919;RXCRASEL;Raios-X, crânio e sela turca, F + P + Localizada;;Raios-X;;crânio e sela turca;F + P + Localizada;
1920;RXCRFP;Raios X, crânio, F+P;;Raios X;;crânio;F+P;
1921;RXCRFPT;Raios X, crânio, F+P+Towne;;Raios X;;crânio;F+P+Towne;
1922;RXCRFPTH;Raios X, crânio, F+P+Oblíqua ou Towne-hirtz;;Raios X;;crânio;F+P+Oblíqua ou Towne-hirtz;
1923;RXDEGEED;Deglutição e fonação;;Deglutição e fonação;;;;
1924;RXDORSAL;Raios X, coluna dorsal ou torácica, F+P;;Raios X;;coluna dorsal ou torácica;F+P;
1926;RXED;Raios X, estômago e duodeno;;Raios X;;estômago e duodeno;;
1927;RXEED;Raios X, esôfago, hiato, estômago e duodeno;;Raios X;;esôfago, hiato, estômago e duodeno;;
1928;RXENEMA1;Enema Opaco, adulto (duplo contraste com preparo);;Enema Opaco;adulto (duplo contraste com preparo);;;
1929;RXENEMA2;Enema Opaco, sem preparo;;Enema Opaco;sem preparo;;;
1930;RXENEMA3;Enema Opaco, com preparo - para criança;;Enema Opaco;com preparo - para criança;;;
1931;RXENEMA4;Enema Opaco, para colostomizados;;Enema Opaco;para colostomizados;;;
1933;RXESCANO;Escanometria;;Escanometria;;;;
1935;RXESCAUS;Raios X, escapulas;;Raios X;;escapulas;;
1939;RXESOFAG;Raios X, esôfago;;Raios X;;esôfago;;
1940;RXESQUEL;Raios X, esqueleto;;Raios X;;esqueleto;;
1942;RXESTCLS;Raios X, articulações esternoclaviculares;;Raios X;;articulações esternoclaviculares;;
1943;RXESTERN;Raios X, esterno, Perfil+Oblíqua;;Raios X;;esterno;Perfil+Oblíqua;
1944;RXFACE;Raios X, ossos da face, FN+MN+LAT+HIRTZ;;Raios X;;ossos da face;FN+MN+LAT+HIRTZ;
1945;RXHIPOFA;Raios X, hipofaringe;;Raios X;;hipofaringe;;
1946;RXHISTERO;Histerossalpingografia;;Histerossalpingografia;;;;
1947;RXIDADE1;Raios X, para idade óssea, mãos e punhos, (AP);;Raios X;para idade óssea;mãos e punhos;(AP);
1949;RXJOELH7;Raios X, joelho, F+P+Oblíquas+Axiais;;Raios X;;joelho;F+P+Oblíquas+Axiais;
1950;RXJOELHO;Raios X, joelho, F+P;;Raios X;;joelho;F+P;
1951;RXJOELHS;Raios X, joelhos, Frente+Perfil;;Raios X;;joelhos;Frente+Perfil;
1952;RXJOELS7;Raios X, joelhos, F+P+Oblíquas+Axiais;;Raios X;;joelhos;F+P+Oblíquas+Axiais;
1953;RXJOEROT;Raios X, joelho ou rótula, F+P+Axial;;Raios X;;joelho ou rótula;F+P+Axial;
1954;RXJOROTS;Raios X, joelhos, F+P+Axial;;Raios X;;joelhos;F+P+Axial;
1955;RXLARING;Raios X, laringe;;Raios X;;laringe;;
1956;RXLS3;Raios X, coluna lombossacra, F+P e/ou Localizada;;Raios X;;coluna lombossacra;F+P e/ou Localizada;
1957;RXLS5;Raios X, coluna lombossacra, F+P+Oblíquas;;Raios X;;coluna lombossacra;F+P+Oblíquas;
1958;RXLSDI;Raios X, coluna lombossacra, Funcional ou Dinâmica;;Raios X;;coluna lombossacra;Funcional ou Dinâmica;
1959;RXMAO;Raios X, mão;;Raios X;;mão;;
1960;RXMAOS;Raios X, mãos;;Raios X;;mãos;;
1961;RXMAST;Raios X, mastóides ou rochedos, bilateral;;Raios X;;mastóides ou rochedos;bilateral;
1962;RXMAXILA;Raios X, maxilar inferior, F+Oblíquas;;Raios X;;maxilar inferior;F+Oblíquas;
1963;RXMEDIAS;Raios X, mediastino;;Raios X;;mediastino;;
1967;RXMMII;Raios X, membros inferiores;;Raios X;;membros inferiores;;
1968;RXOMBRO;Raios X, ombro;;Raios X;;ombro;;
1969;RXOMBROS;Raios X, ombros;;Raios X;;ombros;;
1970;RXORBIT;Raios X, órbita, F+Oblíqua+Hirtz;;Raios X;;órbita;F+Oblíqua+Hirtz;
1971;RXORBITS;Raios X, órbitas, F+Oblíqua+Hirtz;;Raios X;;órbitas;F+Oblíqua+Hirtz;
1972;RXPE;Raios X, pé ou pododactilos, F+Oblíquas;;Raios X;;pé ou pododactilos;F+Oblíquas;
1973;RXPERNA;Raios X, perna, F+Oblíquas;;Raios X;;perna;F+Oblíquas;
1974;RXPERNAS;Raios X, pernas;;Raios X;;pernas;;
1975;RXPES;Raios X, pés;;Raios X;;pés;;
1984;RXPLANI;Planigrafia;;Planigrafia;;;;
1985;RXPLANIATM;Planigrafia, articulações temporomandibulares;;Planigrafia;;articulações temporomandibulares;;
1986;RXPLANICOL;Planigrafia, coluna vertebral;;Planigrafia;;coluna vertebral;;
1987;RXPLANIFACE;Planigrafia, face;;Planigrafia;;face;;
1989;RXPLANIRIM;Planigrafia, dos rins;;Planigrafia;dos rins;;;
1990;RXPLANISELA;Planigrafia, sela turca;;Planigrafia;;sela turca;;
1991;RXPLANITORAX;Planigrafia, tórax;;Planigrafia;;tórax;;
1996;RXPUNHO;Raios X, punho, F+P+Oblíquas;;Raios X;;punho;F+P+Oblíquas;
1997;RXPUNHOS;Raios X, punhos;;Raios X;;punhos;;
1998;RXSACRIL;Raios X, articulações sacroilíacas, F+Oblíquas;;Raios X;;articulações sacroilíacas;F+Oblíquas;
1999;RXSACROC;Raios X, sacrococcix, F+P;;Raios X;;sacrococcix;F+P;
2000;RXSEIOS3;Raios X, seios da face, FN+MN+LAT;;Raios X;;seios da face;FN+MN+LAT;
2001;RXSEIOS4;Raios X, seios da face, FN+MN+LAT+HIRTZ;;Raios X;;seios da face;FN+MN+LAT+HIRTZ;
2002;RXSELA;Raios X, sela turca, F+P+Towne;;Raios X;;sela turca;F+P+Towne;
2003;RXTORAX1;Raios X, Tórax, F (PA);;Raios X;;tórax;F (PA);
2004;RXTORAX2;Raios X, tórax, F+P;;Raios X;;tórax;F+P;
2005;RXTORAX3;Raios X, tórax, F (inspirado e expirado) + P;;Raios X;;tórax;F (inspirado e expirado) + P;
2006;RXTORAX4;Raios X, tórax, F+P+Oblíquas;;Raios X;;tórax;F+P+Oblíquas;
2007;RXTORLOR;Raios X, tórax, Apico-lordótica;;Raios X;;tórax;Apico-lordótica;
2008;RXTORNOS;Raios X, articulações tibiotársicas, F+P;;Raios X;;articulações tibiotársicas;F+P;
2009;RXTORNOZ;Raios X, articulação tibiotársica, F+P;;Raios X;;articulação tibiotársica;F+P;
2010;RXTRANSI;Trânsito intestinal, e morfologia do delgado;;Trânsito intestinal;e morfologia do delgado;;;
2011;RXTRARGO;Raios X, trânsito colônico;;Raios X;;trânsito colônico;;
2012;RXURO;Urografia Excretora;;Urografia Excretora;;;;
2015;RXZIGOMA;Raios X, arcada zigomática malar, F+Oblíquas;;Raios X;;arcada zigomática malar;F+Oblíquas;
2017;SACTH;11-Desoxicortisol, após estímulo com ACTH, soro;11-Desoxicortisol;;após estímulo com ACTH;;;soro
2024;SAMARIO;Dose terapêutica, de Samário-153;Dose terapêutica;;de Samário-153;;;
2027;SARAMPO;Sarampo, Anticorpos IgG e IgM, soro;Sarampo;;Anticorpos IgG e IgM;;;soro
2028;SARAMPOG;Sarampo, Anticorpo IgG, soro;Sarampo;;Anticorpo IgG;;;soro
2029;SARAMPOM;Sarampo, Anticorpo IgM, soro;Sarampo;;Anticorpo IgM;;;soro
2031;SB;Leucograma, sangue total;Leucograma;;;;;sangue total
2033;SBB;Leucograma, com Contagem de Bastonetes, sangue total;Leucograma;;com Contagem de Bastonetes;;;sangue total
2034;SBCON;Leucograma, sangue de cordão umbilical;Leucograma;;;;;sangue de cordão umbilical
2035;SBURG;Leucograma, urgente, sangue total;Leucograma;;urgente;;;sangue total
2038;SCHISTOF;Schistosoma mansoni, pesquisa de ovos, fezes;Schistosoma mansoni;;pesquisa de ovos;;;fezes
2039;SCREENAT;Erros Inatos do Metabolismo, triagem para, sangue total e urina;Erros Inatos do Metabolismo;;triagem para;;;sangue total e urina
2041;SCREENPL;Drogas, de venda livre ou sob prescrição, triagem para, soro;Drogas, de venda livre ou sob prescrição;;triagem para;;;soro
2042;SCREENUR;Drogas, de venda livre ou sob prescrição, triagem para, urina;Drogas;;de venda livre ou sob prescrição, triagem para;;;urina
2051;SED;Sedimento urinário, Vários Materiais;Sedimento urinário;;;;;
2052;SED1J;Sedimento, urina primeiro jato;Sedimento;;;;;urina primeiro jato
2053;SED2J;Sedimento, urina jato médio;Sedimento;;;;;urina jato médio
2054;SED3J;Sedimento, urina terceiro jato;Sedimento;;;;;urina terceiro jato
2056;SELENIO;Selênio, plasma;Selênio;;;;;plasma
2058;SENSTUBA;Teste de Sensibilidade de Micobactérias, Vários Materiais;Teste de Sensibilidade de Micobactérias;;;;;
2059;SEROT;Serotonina, soro;Serotonina;;;;;soro
2060;SGOCULTF;Sangue oculto, pesquisa, fezes;Sangue oculto;;pesquisa;;;fezes
2061;SHBG;Hormônios Sexuais, Globulina Ligadora, soro;Hormônios Sexuais;;Globulina Ligadora;;;soro
2062;SIALOG;Sialografia, por glândula;;Sialografia;por glândula;;;
2063;SIALOGS;Sialografia, D+E;;Sialografia;;;D+E;
2067;SIDERO;Saturação da Transferrina, soro;Saturação da Transferrina;;;;;soro
2069;SM-RNP;Antígenos Nucleares Extraíveis, Anticorpos, soro;Antígenos Nucleares Extraíveis;;Anticorpos;;;soro
2072;SORLYME;Borrelia burgdorferi, Anticorpos totais, soro;Borrelia burgdorferi;;Anticorpos totais;;;soro
2077;SORTULAR;Francisella tularensis, Anticorpos, soro;Francisella tularensis;;Anticorpos;;;soro
2085;SUBREDF;Substâncias Redutoras, pesquisa, fezes;Substâncias Redutoras;;pesquisa;;;fezes
2091;SULFAMET;Sulfametoxazol, soro;Sulfametoxazol;;;;;soro
2094;SVE;Eritrograma, sangue total;Eritrograma;;;;;sangue total
2095;SVEA;Eritrograma, automatizado, sangue total;Eritrograma;;automatizado;;;sangue total
2096;SVECON;Eritrograma, sangue de cordão umbilical;Eritrograma;;;;;sangue de cordão umbilical
2097;SVEURG;Eritrograma, urgente, sangue total;Eritrograma;;urgente;;;sangue total
2098;SWELTEST;Swelling Test, Esperma;Swelling Test;;;;;Esperma
2099;T3;T3, soro;T3;;;;;soro
2100;T3L;T3, livre, soro;T3;;livre;;;soro
2103;T4;T4, soro;T4;;;;;soro
2104;T4L;T4, livre, soro;T4;;livre;;;soro
2105;T4LDI;T4, Livre, após diálise, soro;T4;;Livre, após diálise;;;soro
2106;TAMIS;Tamisação, fezes;Tamisação;;;;;fezes
2107;TBG;Tiroxina, Globulina Ligadora, soro;Tiroxina;;Globulina Ligadora;;;soro
2109;TC3D;Tomografia computadorizada, em 3 dimensões;;Tomografia computadorizada;em 3 dimensões;;;
2110;TCABSUP;Tomografia computadorizada, abdomen superior;;Tomografia computadorizada;;abdomen superior;;
2112;TCABTF;Tomografia computadorizada, abdomen total feminino;;Tomografia computadorizada;;abdomen total feminino;;
2113;TCABTM;Tomografia computadorizada, abdomen total masculino;;Tomografia computadorizada;;abdomen total masculino;;
2114;TCADRENA;Tomografia computadorizada, adrenal;;Tomografia computadorizada;;adrenal;;
2115;TCANTEB;Tomografia computadorizada, antebraço;;Tomografia computadorizada;;antebraço;;
2116;TCANTEBS;Tomografia computadorizada, antebraços, D+E;;Tomografia computadorizada;;antebraços;D+E;
2118;TCATM;Tomografia computadorizada, articulações temporomandibulares;;Tomografia computadorizada;;articulações temporomandibulares;;
2119;TCBACIA;Tomografia computadorizada, bacia;;Tomografia computadorizada;;bacia;;
2120;TCBASECR;Tomografia computadorizada, base de crânio;;Tomografia computadorizada;;base de crânio;;
2121;TCBRACO;Tomografia computadorizada, braço;;Tomografia computadorizada;;braço;;
2122;TCBRACOS;Tomografia computadorizada, braços, D+E;;Tomografia computadorizada;;braços;D+E;
2123;TCCISTER;Iodocisternografia, cerebral;;Iodocisternografia;;cerebral;;
2124;TCCOL3VC;Tomografia computadorizada, coluna cervical, até 3 discos ou 4 vértebras;;Tomografia computadorizada;;coluna cervical;até 3 discos ou 4 vértebras;
2125;TCCOL3VD;Tomografia computadorizada, coluna dorsal, até 3 discos ou 4 vértebras;;Tomografia computadorizada;;coluna dorsal;até 3 discos ou 4 vértebras;
2126;TCCOL3VL;Tomografia computadorizada, coluna lombar, até 3 discos ou 4 vértebras;;Tomografia computadorizada;;coluna lombar;até 3 discos ou 4 vértebras;
2127;TCCOL4VC;Tomografia computadorizada, coluna cervical, até 4 discos ou 5 vértebras;;Tomografia computadorizada;;coluna cervical;até 4 discos ou 5 vértebras;
2128;TCCOL4VD;Tomografia computadorizada, coluna dorsal, até 4 discos ou 5 vértebras;;Tomografia computadorizada;;coluna dorsal;até 4 discos ou 5 vértebras;
2129;TCCOL4VL;Tomografia computadorizada, coluna lombar, até 4 discos ou 5 vértebras;;Tomografia computadorizada;;coluna lombar;até 4 discos ou 5 vértebras;
2130;TCCOL5VC;Tomografia computadorizada, coluna cervical, até 5 discos ou 6 vértebras;;Tomografia computadorizada;;coluna cervical;até 5 discos ou 6 vértebras;
2131;TCCOL5VD;Tomografia computadorizada, coluna dorsal, até 5 discos ou 6 vértebras;;Tomografia computadorizada;;coluna dorsal;até 5 discos ou 6 vértebras;
2132;TCCOL5VL;Tomografia computadorizada, coluna lombar, até 5 discos ou 6 vértebras;;Tomografia computadorizada;;coluna lombar;até 5 discos ou 6 vértebras;
2133;TCCOPFIL;Cópia de filme, Tomografia computadorizada;Cópia de filme;;Tomografia computadorizada;;;
2134;TCCOTOV;Tomografia computadorizada, cotovelo;;Tomografia computadorizada;;cotovelo;;
2135;TCCOTOVS;Tomografia computadorizada, cotovelos, D+E;;Tomografia computadorizada;;cotovelos;D+E;
2136;TCCOXA;Tomografia computadorizada, coxa;;Tomografia computadorizada;;coxa;;
2137;TCCOXAS;Tomografia computadorizada, coxas, D+E;;Tomografia computadorizada;;coxas;D+E;
2138;TCCRANIO;Tomografia computadorizada, crânio;;Tomografia computadorizada;;crânio;;
2139;TCCRASEL;Tomografia computadorizada, crânio e sela turca;;Tomografia computadorizada;;crânio e sela turca;;
2140;TCCRATCV;Tomografia computadorizada, crânio + transição crâniovertebral;;Tomografia computadorizada;;crânio + transição crâniovertebral;;
2142;TCFACE;Tomografia computadorizada, face;;Tomografia computadorizada;;face;;
2143;TCJOELHO;Tomografia computadorizada, joelho;;Tomografia computadorizada;;joelho;;
2144;TCJOELHS;Tomografia computadorizada, joelhos, D+E;;Tomografia computadorizada;;joelhos;D+E;
2145;TCMAO;Tomografia computadorizada, mão;;Tomografia computadorizada;;mão;;
2146;TCMAOS;Tomografia computadorizada, mãos, D+E;;Tomografia computadorizada;;mãos;D+E;
2147;TCMASTOI;Tomografia computadorizada, mastóides;;Tomografia computadorizada;;mastóides;;
2149;TCMIELO;Tomomielografia, até 3 ou 4 segmentos;;Tomomielografia;;;até 3 ou 4 segmentos;
2151;TCODONTOMAND;Tomografia computadorizada, arcada dentária - mandíbula;;Tomografia computadorizada;;arcada dentária - mandíbula;;
2152;TCODONTOMAXI;Tomografia computadorizada, arcada dentária - maxilar;;Tomografia computadorizada;;arcada dentária - maxilar;;
2153;TCOMBRO;Tomografia computadorizada, ombro;;Tomografia computadorizada;;ombro;;
2154;TCOMBROS;Tomografia computadorizada, ombros, D+E;;Tomografia computadorizada;;ombros;D+E;
2156;TCORBIT;Tomografia computadorizada, órbitas;;Tomografia computadorizada;;órbitas;;
2158;TCPE;Tomografia computadorizada, pé;;Tomografia computadorizada;;pé;;
2159;TCPELVE;Tomografia computadorizada, pelve;;Tomografia computadorizada;;pelve;;
2160;TCPERNA;Tomografia computadorizada, perna;;Tomografia computadorizada;;perna;;
2161;TCPERNAS;Tomografia computadorizada, pernas, D+E;;Tomografia computadorizada;;pernas;D+E;
2162;TCPES;Tomografia computadorizada, pés;;Tomografia computadorizada;;pés;;
2163;TCPESC;Tomografia computadorizada, região cervical;;Tomografia computadorizada;;região cervical;;
2164;TCPUNHO;Tomografia computadorizada, punho;;Tomografia computadorizada;;punho;;
2165;TCPUNHOS;Tomografia computadorizada, punhos, D+E;;Tomografia computadorizada;;punhos;D+E;
2166;TCQUADR;Tomografia computadorizada, quadril;;Tomografia computadorizada;;quadril;;
2167;TCQUADRS;Tomografia computadorizada, quadris;;Tomografia computadorizada;;quadris;;
2169;TCSACRIL;Tomografia computadorizada, articulação sacroilíaca;;Tomografia computadorizada;;articulação sacroilíaca;;
2170;TCSACROC;Tomografia computadorizada, coluna sacrococcigea;;Tomografia computadorizada;;coluna sacrococcigea;;
2171;TCSEIOS;Tomografia computadorizada, seios da face;;Tomografia computadorizada;;seios da face;;
2172;TCSELA;Tomografia computadorizada, sela tursica;;Tomografia computadorizada;;sela tursica;;
2174;TCTORAX;Tomografia computadorizada, tórax;;Tomografia computadorizada;;tórax;;
2175;TCTORNOZ;Tomografia computadorizada, tornozelo;;Tomografia computadorizada;;tornozelo;;
2176;TCTORNS;Tomografia computadorizada, tornozelos, D+E;;Tomografia computadorizada;;tornozelos;D+E;
2177;TCTVC;Tomografia computadorizada, transição crâniovertebral ou crâniocervical;;Tomografia computadorizada;;transição crâniovertebral ou crâniocervical;;
2181;TEOFIL;Teofilina, soro;Teofilina;;;;;soro
2182;TERGO;Eletrocardiograma, de esforço;;Eletrocardiograma;de esforço;;;
2190;TESTERIL;Esterilidade, teste de, Vários Materiais;Esterilidade;;teste de;;;
2193;TESTICO;Cintilografia, dos, Testículos;;Cintilografia;dos;testículos;;
2194;TESTICV;Cintilografia, dos Testículos para Detecção de Varicocele;;Cintilografia;dos Testículos para Detecção de Varicocele;;;
2195;TESTO;Testosterona, soro;Testosterona;;;;;soro
2198;TESTOL;Testosterona, livre, soro;Testosterona;;livre;;;soro
2202;TETANO;Tétano, Anticorpo IgG, soro;Tétano;;Anticorpo IgG;;;soro
2204;TG;Tiroglobulina, soro;Tiroglobulina;;;;;soro
2205;TGLUC;Glicose, após estímulo com Glucagon, plasma;Glicose;;após estímulo com Glucagon;;;plasma
2206;THC;Canabinóides, pesquisa, urina;Canabinóides;;pesquisa;;;urina
2207;THCSG;Tetrahidrocanabinol, dosagem, sangue total;Tetrahidrocanabinol;;dosagem;;;sangue total
2225;TIPHCV;Hepatite C, Genotipagem, plasma;Hepatite C;;Genotipagem;;;plasma
2227;TIRTEC;Cintilografia da Tiroide, com Tecnécio - 99m;;Cintilografia da Tiroide;com Tecnécio - 99m;;;
